Feature,Mean Absolute SHAP
categorical__r_case_number_14007078CF10A,0.0
categorical__r_case_number_14007110MM10A,0.0
categorical__r_case_number_14007121MM10A,0.0
categorical__r_case_number_14007126MM10A,0.0
categorical__r_case_number_14007130MM10A,0.0
categorical__r_case_number_14007140CF10A,0.0
categorical__r_case_number_14006960MM10A,0.0
categorical__r_case_number_14004435MM10A,0.0
categorical__r_case_number_14004438MM10A,0.0
categorical__r_case_number_14004481MM10A,0.0
categorical__r_case_number_14004485CF10A,0.0
categorical__r_case_number_14004491MM40A,0.0
categorical__r_case_number_14004494CF10A,0.0
categorical__r_case_number_14004500CF10A,0.0
categorical__r_case_number_14004521MM10A,0.0
categorical__r_case_number_14004524CF10A,0.0
categorical__r_case_number_14004526MM10A,0.0
categorical__r_case_number_14005731MM10A,0.0
categorical__r_case_number_14004545MM40A,0.0
categorical__r_case_number_14004546CF10A,0.0
categorical__r_case_number_14004555MM40A,0.0
categorical__r_case_number_14004583CF10A,0.0
categorical__r_case_number_14004594MM10A,0.0
categorical__r_case_number_14004616MM10A,0.0
categorical__r_case_number_14004638CF10A,0.0
categorical__r_case_number_14004640MM10A,0.0
categorical__r_case_number_14004642MM10A,0.0
categorical__r_case_number_14004656CF10A,0.0
categorical__r_case_number_14004531CF10A,0.0
categorical__r_case_number_14003946CF10A,0.0
categorical__r_case_number_14003988MU10A,0.0
categorical__r_case_number_14003990CF10A,0.0
categorical__r_case_number_14004026CF10A,0.0
categorical__r_case_number_14004048MM10A,0.0
categorical__r_case_number_14004055MM10A,0.0
categorical__r_case_number_14004088CF10A,0.0
categorical__r_case_number_14004097CF10A,0.0
categorical__r_case_number_14004145TC10A,0.0
categorical__r_case_number_14004154CF10A,0.0
categorical__r_case_number_14004416MM10A,0.0
categorical__r_case_number_14004242CF10A,0.0
categorical__r_case_number_14004251CF10A,0.0
categorical__r_case_number_14004255MM10A,0.0
categorical__r_case_number_14004267CF10A,0.0
categorical__r_case_number_14004278CF10A,0.0
categorical__r_case_number_14004315MM40A,0.0
categorical__r_case_number_14004320CF10A,0.0
categorical__r_case_number_14004341CF10A,0.0
categorical__r_case_number_14004398MM40A,0.0
categorical__r_case_number_14004413MM10A,0.0
categorical__r_case_number_14004204MM40A,0.0
categorical__r_case_number_14005305MM10A,0.0
categorical__r_case_number_14005314MM10A,0.0
categorical__r_case_number_14005318TC10A,0.0
categorical__r_case_number_14005322MM10A,0.0
categorical__r_case_number_14005345CF10A,0.0
categorical__r_case_number_14005363CF10A,0.0
categorical__r_case_number_14005373CF10A,0.0
categorical__r_case_number_14005374MM10A,0.0
categorical__r_case_number_14005379MM10A,0.0
categorical__r_case_number_14005411MM10A,0.0
categorical__r_case_number_14004663CF10A,0.0
categorical__r_case_number_14005598MM10A,0.0
categorical__r_case_number_14005610CF10A,0.0
categorical__r_case_number_14005611CF10A,0.0
categorical__r_case_number_14005616CF10A,0.0
categorical__r_case_number_14005627TC20A,0.0
categorical__r_case_number_14005642MM10A,0.0
categorical__r_case_number_14005658TC10A,0.0
categorical__r_case_number_14005713TC10A,0.0
categorical__r_case_number_14005723CF10A,0.0
categorical__r_case_number_14005727MM10A,0.0
categorical__r_case_number_14005559MM10A,0.0
categorical__r_case_number_14004668MM40A,0.0
categorical__r_case_number_14004691TC10A,0.0
categorical__r_case_number_14004697TC10A,0.0
categorical__r_case_number_14004699TC10A,0.0
categorical__r_case_number_14004715CF10A,0.0
categorical__r_case_number_14004730CF10A,0.0
categorical__r_case_number_14004736CF10A,0.0
categorical__r_case_number_14004767MM40A,0.0
categorical__r_case_number_14004829MM10A,0.0
categorical__r_case_number_14004839MM40A,0.0
categorical__r_case_number_14005304TC10A,0.0
categorical__r_case_number_14004876CF10A,0.0
categorical__r_case_number_14004876MM10A,0.0
categorical__r_case_number_14004910MM10A,0.0
categorical__r_case_number_14004954CF10A,0.0
categorical__r_case_number_14004969MM10A,0.0
categorical__r_case_number_14004990MM10A,0.0
categorical__r_case_number_14004993MM10A,0.0
categorical__r_case_number_14005041TC10A,0.0
categorical__r_case_number_14005121CF10A,0.0
categorical__r_case_number_14005187CF10A,0.0
categorical__r_case_number_14005216MM10A,0.0
categorical__r_case_number_14004843MM10A,0.0
categorical__r_case_number_14009532CF10A,0.0
categorical__r_case_number_14009538CF10A,0.0
categorical__r_case_number_14009571MM10A,0.0
categorical__r_case_number_14009581MM10A,0.0
categorical__r_case_number_14009604CF10A,0.0
categorical__r_case_number_14009653CF10A,0.0
categorical__r_case_number_14009656CF10A,0.0
categorical__r_case_number_14009684CF10A,0.0
categorical__r_case_number_14009691CF10A,0.0
